2018/11/2,17:0:20
FirmwareVer=DropsondeV2OPC-012id PCBv4.SPIdef.............BS
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,bb15,GSC,ID
35,92,208,328,451,578,708,842,979,1119,1263,1411,1562,1716,1856,4095,1.00,1
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
53305,225,971,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,67,17357,10,10,0,11
53849,226,967,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,68,17438,11,11,0,11
54390,226,963,5,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,102,0,248,67,17400,12,12,0,7
54935,224,963,8,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,124,65,68,17473,12,12,0,11
55479,227,961,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,68,17471,10,10,0,7
56020,226,956,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,67,17367,14,14,0,7
56567,226,954,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,68,17564,14,14,0,11
57118,226,993,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,69,17671,11,11,0,9
57693,226,947,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,72,18457,7,7,0,11
58232,226,943,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,67,17319,8,8,0,12
58773,226,943,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,67,17363,12,12,0,11
59316,226,936,4,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,110,28,68,17436,10,10,0,9
59859,225,935,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,68,17433,8,8,0,11
