24/10/2018,15:14:32,,,,,,,,,,,,,,,,,,,,,,,,,
FirmwareVer=DropsondeV2OPC-012id PCBv4.SPIdef.............BS,,,,,,,,,,,,,,,,,,,,,,,,,,
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,GSC,ID,,,,,,,,,,
0,92,208,328,451,578,708,842,979,1119,1263,1411,1562,1716,1874,1,1,,,,,,,,,,
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
48899,308,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17406,0,254,67,0
49436,309,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17262,0,110,67,1
49979,310,860,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,17425,2,17,68,3
50518,310,859,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17298,1,146,67,6
51056,313,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17260,0,108,67,0
51594,308,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17263,0,111,67,0
52131,306,863,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,17263,1,111,67,1
52672,307,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17333,0,181,67,0
53210,308,867,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,17261,1,109,67,1
53765,309,870,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,17816,2,152,69,3
54304,312,873,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,17325,1,173,67,3
54844,312,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17332,0,180,67,2
55383,311,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17264,0,112,67,0
55920,311,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17261,0,109,67,2
56458,313,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17262,0,110,67,0
56995,314,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17260,0,108,67,0
57534,314,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17264,0,112,67,0
