2018/10/24,15:14:32
FirmwareVer=DropsondeV2OPC-012id PCBv4.SPIdef.............BS
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,GSC,ID
10,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1.00,1
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
87694,251,945,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,17406,3,254,67,7
88233,252,946,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,17334,3,182,67,7
88772,251,951,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,17297,3,145,67,7
89313,251,952,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,17333,10,181,67,16
89853,251,949,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,17367,21,215,67,255
90413,252,954,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,17962,6,42,70,6
90952,251,952,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,17292,6,140,67,73
91492,252,952,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,17336,7,184,67,50
92032,252,958,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,17334,4,182,67,24
92573,252,955,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,17371,10,219,67,70
93114,251,958,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,17368,21,216,67,109
93692,248,955,0,53,1,1,0,0,0,0,0,0,0,0,0,0,0,17,37,0,0,18605,55,173,72,44
94241,247,951,0,42,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,17597,44,189,68,34
94783,247,955,0,46,1,0,1,0,0,0,0,0,0,0,0,0,0,34,0,0,0,17403,48,251,67,25
95326,246,955,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,17406,43,254,67,38
95867,247,959,0,43,1,1,0,1,0,0,0,0,0,0,0,0,0,20,48,39,0,17405,46,253,67,35
96412,247,955,0,81,3,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,17478,84,70,68,143
96954,246,1023,0,68,1,1,0,1,0,0,0,0,0,0,0,0,0,45,41,37,0,17403,71,251,67,232
97501,248,1023,0,43,2,1,0,0,0,0,0,0,0,0,0,0,0,22,50,0,0,17545,46,137,68,76
98060,250,961,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,17963,35,43,70,142
98604,253,973,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,17433,20,25,68,77
99144,253,960,0,37,1,0,1,0,0,0,0,0,0,0,0,0,0,105,0,0,0,17369,39,217,67,149
99689,253,977,0,31,1,1,1,1,0,0,0,0,0,0,0,0,0,245,36,58,0,17474,35,66,68,120
100235,254,959,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,72,27,0,0,17510,34,102,68,170
100780,252,963,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,17507,27,99,68,201
101323,252,965,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,212,72,0,0,17438,10,30,68,145
101872,253,974,0,31,2,1,0,0,0,0,0,0,0,0,0,0,0,42,44,0,0,17633,34,225,68,32
102417,253,970,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,17475,13,67,68,7
102958,252,1023,0,13,4,0,0,1,0,0,0,0,0,0,0,0,0,65,0,41,0,17369,18,217,67,31
103503,250,969,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,17510,9,102,68,12
104044,251,999,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,17369,12,217,67,18
104588,252,966,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,17439,8,31,68,10
105127,252,966,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,17334,27,182,67,33
105686,249,969,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,17926,23,6,70,25
106227,250,965,0,75,3,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,17362,79,210,67,128
106771,250,967,0,59,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,17477,62,69,68,57
107314,249,967,0,53,1,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,17407,54,255,67,183
107858,248,6,0,46,1,1,0,0,0,0,0,0,0,0,0,0,0,20,36,0,0,17477,48,69,68,49
108399,247,959,0,62,3,0,1,0,0,0,0,0,0,0,0,0,0,23,0,0,0,17368,66,216,67,68
108982,251,1023,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,18732,26,44,73,32
109524,248,884,0,38,2,2,0,0,0,0,0,0,0,0,0,0,0,32,50,0,0,17430,42,22,68,60
110068,250,974,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,17432,16,24,68,37
110610,249,985,0,63,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,17405,64,253,67,67
111154,249,964,0,39,2,0,0,1,1,0,0,0,0,0,0,0,0,28,0,95,0,17440,43,32,68,99
111696,250,1005,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,17439,23,31,68,32
112240,249,961,0,63,1,1,0,0,0,0,0,0,0,0,0,0,0,21,32,0,0,17439,65,31,68,82
112798,250,1023,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,17929,23,9,70,38
113340,250,955,0,51,3,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,17398,54,246,67,59
113884,251,1023,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,17441,25,33,68,57
114427,250,964,0,57,1,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,17444,58,36,68,71
114969,248,1023,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,17408,7,0,68,10
115510,250,957,0,34,3,0,0,0,1,1,0,0,0,0,0,0,0,44,0,0,51,17335,39,183,67,68
116055,247,976,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,17477,27,69,68,24
116601,250,966,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,17570,17,162,68,26
117145,250,957,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,17441,6,33,68,7
117685,251,958,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,17333,23,181,67,41
118228,250,1023,0,36,2,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,41,17438,39,30,68,33
118772,252,954,0,23,1,0,1,0,0,0,0,0,0,0,0,0,0,28,0,0,0,17476,25,68,68,23
119325,253,948,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,17735,10,71,69,9
119866,252,1020,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,17370,5,218,67,9
120423,253,953,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,106,118,0,0,17887,11,223,69,41
120969,254,964,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,17507,4,99,68,44
121508,255,952,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,17335,21,183,67,52
122052,254,949,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,17444,12,36,68,21
122596,255,959,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,17444,7,36,68,92
123136,255,958,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,17339,18,187,67,32
123679,256,957,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,17445,21,37,68,255
124229,257,958,0,35,1,0,1,0,0,0,0,0,0,0,0,0,0,32,0,0,0,17643,37,235,68,21
124808,257,958,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,18614,25,182,72,255
125353,257,958,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,17504,35,96,68,28
125895,258,956,0,44,2,1,0,0,0,0,0,0,0,0,0,0,0,145,57,0,0,17398,47,246,67,226
126442,258,960,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,17548,32,140,68,111
126986,256,958,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,17478,27,70,68,255
127531,257,964,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,17477,37,69,68,79
128089,256,962,0,26,2,0,0,0,0,0,1,0,0,0,0,0,0,24,0,0,0,17929,29,9,70,23
128630,256,953,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,17365,29,213,67,34
129173,256,950,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,17443,7,35,68,104
